model_name,model_short,primitive,emotion,combo,trial,meaning_score,excitement_score,emotional_elicitation,clarity_score,universality_score,embodiment_score,novelty_score,composite_score,dominant_sensation,composite_concept,confidence,parse_failed
qwen2.5:0.5b,qwen,I,Joy,I × Joy,1,10,0,0,10,0,0,0,4.0,joy,joy,1.0,False
qwen2.5:0.5b,qwen,I,Joy,I × Joy,2,10,10,10,10,10,10,10,10.0,joy,joy,1.0,False
qwen2.5:0.5b,qwen,I,Joy,I × Joy,3,10,10,10,10,10,10,10,10.0,joy,joy and happiness,1.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,1,10,0,0,0,0,0,0,2.5,anxiety,anxiety,0.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,2,0,0,0,0,0,0,0,0.0,anxiety,anxiety,1.0,False
qwen2.5:0.5b,qwen,I,Anxiety,I × Anxiety,3,0,0,0,0,0,0,0,0.0,anxiety,anxiety,1.0,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,1,10,10,10,10,10,10,10,10.0,Fear,Fear,1.0,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,2,5,0,5,5,5,5,0,4.25,Fear,fear,1.0,False
qwen2.5:0.5b,qwen,I,Fear,I × Fear,3,10,10,10,10,10,10,10,10.0,Fear,Fear,1.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,1,1,0,0,0,0,0,0,0.25,shame,I,1.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,2,10,10,10,10,10,10,10,10.0,Shame,shame,1.0,False
qwen2.5:0.5b,qwen,I,Shame,I × Shame,3,0,0,0,0,0,0,0,0.0,None,I,0.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,1,0,0,0,0,0,0,0,0.0,,you,1.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,2,10,10,10,10,10,10,10,10.0,admiration,you,1.0,False
qwen2.5:0.5b,qwen,you,Admiration,you × Admiration,3,10,10,10,10,10,10,10,10.0,adoration,you adoring,1.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,1,0,0,0,0,0,0,0,0.0,adoration,adoration,1.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,2,0,0,0,0,0,0,0,0.0,,,0.0,False
qwen2.5:0.5b,qwen,you,Adoration,you × Adoration,3,10,10,10,10,10,10,10,10.0,love,adore you,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,1,0,0,0,0,0,0,0,0.0,,romance,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,2,10,0,0,10,10,0,10,6.0,romance,romance,1.0,False
qwen2.5:0.5b,qwen,you,Romance,you × Romance,3,10,10,10,10,10,10,10,10.0,romance,you,1.0,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,1,0,0,0,0,0,0,0,0.0,sympathy,sympathize with someone,1.0,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,2,10,10,0,10,0,0,0,5.0,sympathy,you,1.0,False
qwen2.5:0.5b,qwen,you,Sympathy,you × Sympathy,3,5,5,5,5,5,5,5,5.0,sympathy,you,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,1,10,10,10,10,10,10,10,10.0, admiration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,2,10,10,10,10,10,10,10,10.0,admiration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Admiration,someone × Admiration,3,10,10,10,10,10,10,10,10.0,admirer,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,1,5,0,5,5,0,0,0,3.0,sympathy,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,2,0,1,1,0,0,1,1,0.45,someone,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Sympathy,someone × Sympathy,3,10,10,10,10,10,10,10,10.0,sympathy,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,1,0,0,0,0,0,0,0,0.0,n/a,someone,0.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,2,0,0,0,0,0,0,0,0.0,not applicable in this case,"no combination can have a specific meaning, emotion, or sensation",1.0,False
qwen2.5:0.5b,qwen,someone,Envy,someone × Envy,3,0,0,0,0,0,0,0,0.0,empty,None,1.0,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,1,0,0,0,0,0,0,0,0.0,adoration,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,2,5,10,2,5,10,0,0,4.9,love,someone,1.0,False
qwen2.5:0.5b,qwen,someone,Adoration,someone × Adoration,3,10,0,1,1,1,1,0,3.1,Adoration,"someone, a person",1.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,1,10,10,10,10,10,10,10,10.0,admiration,people,1.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,2,10,10,0,10,10,10,10,8.0,admiration,people,1.0,False
qwen2.5:0.5b,qwen,people,Admiration,people × Admiration,3,10,10,10,10,10,10,10,10.0,admiration,people,1.0,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,1,0,0,0,5,5,5,5,2.25,people,people,1.0,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,2,0,0,0,0,0,0,0,0.0,sympathy,people,0.75,False
qwen2.5:0.5b,qwen,people,Sympathy,people × Sympathy,3,0,0,0,0,0,0,0,0.0,sympathy,people,1.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,1,5,5,5,5,5,5,5,5.0,awe,awe,1.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,2,0,0,0,0,0,0,0,0.0,awe,people,0.0,False
qwen2.5:0.5b,qwen,people,Awe,people × Awe,3,10,10,10,10,10,10,10,10.0,awe,awe,1.0,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,1,8,1,8,1,1,1,0,4.1,interest,something,0.9,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,2,10,10,10,10,10,10,10,10.0,interest,interest,1.0,False
qwen2.5:0.5b,qwen,something,Interest,something × Interest,3,8,8,7,8,8,7,7,7.65,interest,something interest,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,1,0,0,0,0,0,0,0,0.0,craving,something,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,2,0,0,0,0,0,0,0,0.0,something,2-3 words — what this combination becomes,1.0,False
qwen2.5:0.5b,qwen,something,Craving,something × Craving,3,0,0,0,0,0,0,0,0.0,,craving,1.0,False
